timestamp,size_vram_bytes,size_total_bytes,context_length,expires_at
2026-06-12T11:01:49Z,9282456124,15990521853,262144,2026-06-12T14:02:00.9425529+03:00
2026-06-12T11:01:49Z,9282456124,15990521853,262144,2026-06-12T14:02:01.4905466+03:00
2026-06-12T11:01:50Z,9282456124,15990521853,262144,2026-06-12T14:02:02.0377062+03:00
2026-06-12T11:01:51Z,9282456124,15990521853,262144,2026-06-12T14:02:02.5753254+03:00
2026-06-12T11:01:51Z,9282456124,15990521853,262144,2026-06-12T14:02:03.1213349+03:00
2026-06-12T11:01:52Z,9282456124,15990521853,262144,2026-06-12T14:02:03.6767733+03:00
2026-06-12T11:01:52Z,9282456124,15990521853,262144,2026-06-12T14:02:04.2291035+03:00
2026-06-12T11:01:53Z,9282456124,15990521853,262144,2026-06-12T14:02:04.7751613+03:00
2026-06-12T11:01:53Z,9282456124,15990521853,262144,2026-06-12T14:02:05.3263027+03:00
2026-06-12T11:01:54Z,9282456124,15990521853,262144,2026-06-12T14:02:05.882601+03:00
2026-06-12T11:01:54Z,9282456124,15990521853,262144,2026-06-12T14:02:06.4259027+03:00
2026-06-12T11:01:55Z,9282456124,15990521853,262144,2026-06-12T14:02:06.9748102+03:00
2026-06-12T11:01:56Z,9282456124,15990521853,262144,2026-06-12T14:02:07.522336+03:00
2026-06-12T11:01:56Z,9282456124,15990521853,262144,2026-06-12T14:02:08.0755729+03:00
2026-06-12T11:01:57Z,9282456124,15990521853,262144,2026-06-12T14:02:08.6291909+03:00
2026-06-12T11:01:57Z,9282456124,15990521853,262144,2026-06-12T14:02:09.1779065+03:00
2026-06-12T11:01:58Z,9282456124,15990521853,262144,2026-06-12T14:02:09.7340169+03:00
2026-06-12T11:01:58Z,9282456124,15990521853,262144,2026-06-12T14:02:10.2923284+03:00
2026-06-12T11:01:59Z,9282456124,15990521853,262144,2026-06-12T14:02:10.8488873+03:00
2026-06-12T11:01:59Z,9282456124,15990521853,262144,2026-06-12T14:02:11.4005832+03:00
2026-06-12T11:02:00Z,9282456124,15990521853,262144,2026-06-12T14:02:11.9477977+03:00
2026-06-12T11:02:00Z,9282456124,15990521853,262144,2026-06-12T14:02:12.488329+03:00
2026-06-12T11:02:01Z,9282456124,15990521853,262144,2026-06-12T14:02:13.0442955+03:00
2026-06-12T11:02:02Z,9282456124,15990521853,262144,2026-06-12T14:02:13.6157988+03:00
2026-06-12T11:02:02Z,9282456124,15990521853,262144,2026-06-12T14:02:14.1638966+03:00
2026-06-12T11:02:03Z,9282456124,15990521853,262144,2026-06-12T14:02:14.7026569+03:00
2026-06-12T11:02:03Z,9282456124,15990521853,262144,2026-06-12T14:02:15.2440526+03:00
2026-06-12T11:02:04Z,9282456124,15990521853,262144,2026-06-12T14:02:15.7869463+03:00
2026-06-12T11:02:04Z,9282456124,15990521853,262144,2026-06-12T14:02:16.3260965+03:00
2026-06-12T11:02:05Z,9282456124,15990521853,262144,2026-06-12T14:02:16.8656726+03:00
2026-06-12T11:02:05Z,9282456124,15990521853,262144,2026-06-12T14:02:17.4116476+03:00
2026-06-12T11:02:06Z,9282456124,15990521853,262144,2026-06-12T14:02:17.9599745+03:00
2026-06-12T11:02:07Z,9282456124,15990521853,262144,2026-06-12T14:02:18.5183768+03:00
2026-06-12T11:02:07Z,9282456124,15990521853,262144,2026-06-12T14:02:19.0592981+03:00
2026-06-12T11:02:08Z,9282456124,15990521853,262144,2026-06-12T14:02:19.6136128+03:00
